code,code_check,title,value
133205,133205,Выдержка в емкости:,Нейтральная емкость
137306,137306,Регион:,Риоха
137306,137306,Год:,2016
137306,137306,Потенциал хранения:,9-10 лет.
137306,137306,Аппелласьон:,Rioja DOCa
137306,137306,Категория:,Denominacion de Origen Calificada (DOCa)
137306,137306,Декантация:,аэрация
123719,123719,rating,4.2
123719,123719,"Страна, регион:","Аргентина##, Мендоса"
123719,123719,Вино:,белое
123719,123719,Сахар:,полусухое
123719,123719,Виноград:,шардоне 100%
123719,123719,Производитель:,Trapiche
130696,130696,price,2 790 ₽
135810,135810,price,1 990 ₽
131649,131649,Декантация:,аэрация
131649,131649,Выдержка в емкости:,Нейтральная емкость
130944,130944,Аппелласьон:,Puglia IGT
130944,130944,Категория:,Indicazione Geografica Tipica (IGT)
130944,130944,Декантация:,не рекомендуется
130944,130944,Выдержка в емкости:,Нейтральная емкость
130905,130905,Потенциал хранения:,2-3 года.
130905,130905,Аппелласьон:,Toscana IGT
130905,130905,Категория:,Indicazione Geografica Tipica (IGT)
130905,130905,Декантация:,не рекомендуется
130905,130905,Выдержка в емкости:,Нет
131575,131575,Потенциал хранения:,10-15 лет.
131575,131575,Аппелласьон:,Toscana IGT
131575,131575,Категория:,Indicazione Geografica Tipica (IGT)
131575,131575,Декантация:,аэрация
131575,131575,Выдержка в емкости:,Бочка
128308,128308,Год:,2019
128308,128308,Потенциал хранения:,3-5 лет.
128308,128308,Аппелласьон:,Rioja DOCa
128308,128308,Категория:,Denominacion de Origen Calificada (DOCa)
128308,128308,Декантация:,не рекомендуется
128308,128308,Выдержка в емкости:,Нейтральная емкость
130909,130909,Потенциал хранения:,10-15 лет.
130909,130909,Аппелласьон:,Toscana IGT
130909,130909,Категория:,Indicazione Geografica Tipica (IGT)
130909,130909,Декантация:,аэрация
130909,130909,Выдержка в емкости:,Бочка
137306,137306,Выдержка в емкости:,Бочка
129045,129045,price,2 490 ₽
122276,122276,price,1 640 ₽
130898,130898,price,2 640 ₽
135522,135522,price,"1 043 ₽                                        
                        "
137377,137377,price,1 290 ₽
123719,123719,Крепость:,13%
123719,123719,Объем:,0.75 л
123719,123719,Регион:,Мендоса
123719,123719,Год:,2020
123719,123719,Потенциал хранения:,3-5 лет.
123719,123719,Аппелласьон:,Mendoza
123719,123719,Декантация:,не рекомендуется
123719,123719,Выдержка в емкости:,Нейтральная емкость
130696,130696,rating,4.6
130696,130696,"Страна, регион:","Испания##, Галисия"
